,MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
0,21530491,5300000.0,85637,-110.3782,31.356362,2154.0,5272.0,1941,13,10,10500.0,0,"Dishwasher, Freezer, Refrigerator, Oven",6,"Mexican Tile, Wood",0
1,21529082,4200000.0,85646,-111.045371,31.594213,1707.0,10422.36,1997,2,2,7300.0,0,"Dishwasher, Garbage Disposal",5,"Natural Stone, Other",0
4,21306357,3411450.0,85750,-110.813768,32.285162,3.21,15393.0,1995,4,6,6396.0,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Carpet, Concrete",55
5,21528016,3250000.0,85718,-110.910593,32.33909,1.67,27802.84,1999,3,4,6842.0,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Natural Stone, Wood, Other",422
6,21610478,2400000.0,85712,-110.883315,32.261069,2.1,19038.42,2001,9,8,12025.0,4,"Dishwasher, Garbage Disposal, Oven",6,"Carpet, Natural Stone, Wood, Other",0
7,21211741,2500000.0,85750,-110.861002,32.331603,1.07,21646.0,2011,6,8,8921.0,4,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Carpet, Natural Stone, Wood",220
8,21324646,3700000.0,85718,-110.912156,32.343601,6.73,25094.39,2002,5,7,5238.0,3,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Natural Stone, Wood, Other",421
9,21812010,3250000.0,85750,-110.83795,32.327575,3.53,18936.11,2007,5,6,6480.0,3,"Dishwasher, Double Sink, Electric Range, Freezer, Garbage Disposal, Island, Pantry: Butler, Refrigerator, Appliance Color: Stainless, Countertops: CORIAN, Microwave: Built In, Oven: Built In",2,"Carpet, Concrete",141.67
11,21131956,2050000.0,85718,-110.918294,32.341609,1.65,24353.0,2009,5,6,7230.0,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Carpet, Natural Stone, Wood",357
12,21217839,2100000.0,85637,-110.736202,31.721347,29.6,11723.0,1995,6,7,6454.0,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Mexican Tile, Natural Stone, Wood",0
13,21625369,2200000.0,85658,-111.049837,32.483063,1.82,5198.58,2015,4,6,5826.0,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,Natural Stone,148
14,21534099,3000000.0,85739,-110.883068,32.508778,0.0,29669.0,2008,3,3,3095.0,0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Natural Stone, Wood","20,000"
15,21225585,2600000.0,85739,-110.883252,32.507699,0.0,18044.0,2008,3,3,3095.0,0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Natural Stone, Wood",0
16,21700487,3000000.0,85750,-110.843588,32.327533,3.1,24040.26,2002,3,6,7756.0,3,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Prep Sink, Refrigerator, Appliance Color: Black, Countertops: Granite",3,"Carpet, Natural Stone",142
17,21300933,2500000.0,85718,-110.942458,32.350702,1.25,19565.2,2010,4,5,5338.0,4,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Carpet, Natural Stone",173
18,21324339,2600000.0,85739,-110.883239,32.50904,0.0,17567.18,2008,3,3,3095.0,0,"Dishwasher, Refrigerator, Microwave, Oven",3,"Natural Stone, Wood",0
